,top_x,execution_time_descricao,execution_time_json,execution_time_scibert_json
0,3,36.542646408081055,,
1,3,,119.42954015731812,
2,4,34.639748096466064,,
3,4,,121.58023428916931,
4,5,34.532578229904175,,
5,5,,120.74201130867004,
6,6,36.46106171607971,,
7,6,,120.13712906837463,
8,7,34.81632113456726,,
9,7,,120.2924222946167,
10,8,35.37665152549744,,
11,8,,120.08752393722534,
12,9,35.30140423774719,,
13,9,,120.63946032524109,
14,10,35.52518630027771,,
15,10,,120.74207544326782,
16,3,34.51121973991394,,
17,3,,,119.43756437301636
18,4,34.60681414604187,,
19,4,,,119.94797682762146
20,5,34.54104685783386,,
21,5,,,119.84615588188171
22,6,34.83537983894348,,
23,6,,,120.07278537750244
24,7,35.24377226829529,,
25,7,,,120.30141949653625
26,8,35.05478644371033,,
27,8,,,120.71142530441284
28,9,34.90884232521057,,
29,9,,,120.86477375030518
30,10,35.68221640586853,,
31,10,,,121.53633975982666
